Year,Accommodation services,Food and beverage serving services,Passenger transport services,Travel agencies and other reservation services,"Cultural, sports and recreational services",Country-specific tourism characteristic goods,Country-specific tourism characteristic services,Total
2005,10705,6700,5218,1077,1347,7003,1044,33092
2006,12840,7160,5054,766,1417,9840,498,37573
2007,14236,8693,7156,2113,1489,12776,961,47424
2008,15463,8929,7719,2068,1513,13520,959,50172
2009,16574,9703,7862,2372,1665,15774,1052,55001
2010,17343,10177,12778,2544,1834,16981,1420,63078
2011,17961,10245,12256,2805,2317,18294,1464,65342
2012,18652,10149,12643,2537,1903,19474,1713,67070
2013,19829,8591,17596,2474,2131,20756,1993,73370
2014,21816,10846,17869,2768,1720,22440,2618,80076
2015,17556,9588,13641,4150,2791,22396,3935,74056